Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.049,64.215,64.602,64.944,65.303,65.615,66.126,66.385,66.744,67.098,67.44,67.783,68.335,68.862,69.278,69.564,69.808,70.054,70.271,70.507,70.771,71.344,71.485,71.606,71.711,71.792,71.831,72.448,72.519,72.531,72.546,72.592,72.717,72.777,72.796,72.832,72.856,72.904,72.94,72.857,72.939,73.044,73.135,73.236,73.223,73.415,73.498,73.642,73.783,73.974,74.297,74.578,74.841,75.072,75.261,75.405,75.54,75.62,75.88,76.019,75.406,73.655,76.226,76.353,
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.16965825,44.46883834,44.87788993,45.16058281,45.53569547,45.77072292,45.76572536,46.44074542,46.73863175,46.9774757,47.24800568,47.46401566,47.16679228,47.74660792,47.74432776,47.96854805,48.5681382,48.86072489,48.98391671,49.41698838,49.81671314,50.0204933,50.29082938,48.90409566,48.99795867,49.39290246,50.0097615,51.06894293,50.87660706,51.26587351,51.09632645,50.87324361,50.71594605,51.07376191,50.9665888,51.48205668,51.35318984,51.57088652,51.31795547,51.80707724,52.55734186,52.87553605,53.20674433,53.67830477,54.19292787,54.80768071,55.69351526,56.48435318,57.24010632,58.09552714,58.82727921,59.20000403,60.24951236,60.89573975,61.25143602,61.71303052,62.16798132,62.5912751,63.33069136,63.85726128,63.766484,62.97999919,64.48701955,65.14629086,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.799,33.291,33.757,34.201,34.673,35.124,35.583,36.042,36.51,36.979,37.46,37.932,38.423,38.951,39.469,39.994,40.518,41.082,40.086,38.844,39.258,39.406,36.058,36.517,31.473,32.132,38.4,38.831,43.238,44.496,45.118,45.521,46.569,51.021,50.969,52.103,52.83,53.212,52.487,54.532,55.005,55.511,56.225,57.171,57.81,58.247,58.553,58.956,59.708,60.248,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.77963639,38.0589555,38.68179238,38.93691777,39.19457988,39.4797845,39.71924803,39.52935902,40.25888955,40.56781413,41.27793851,41.73010221,42.35613222,42.86812304,43.43715533,43.96707938,44.75257005,45.36226416,45.87627836,46.32850664,46.69622897,47.0752193,47.37394202,47.61950297,47.79751436,47.94427499,48.0379744,48.13937742,48.37133491,48.49596439,48.45929545,48.53107588,48.68859214,48.85494001,48.85928311,49.02700669,49.11155737,49.21878349,49.45245902,49.82376333,50.29798308,50.67779041,51.10802357,51.57812224,52.10608309,52.5557531,52.97870971,53.48243141,53.91626163,53.85224546,54.60335321,54.96397349,55.29270582,55.55490741,55.69544634,56.03833565,56.39245185,56.62643881,57.03697644,57.14984676,57.3644254,57.36257169,57.98781339,58.85572155,
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.933,36.902,37.168,37.419,37.704,37.968,38.258,38.616,38.968,39.329,39.688,40.076,40.469,40.871,41.26,40.817,40.812,41.215,41.573,41.913,42.242,42.556,42.857,41.972,42.245,42.495,42.739,40.786,41.471,41.698,41.854,43.812,42.267,42.19,43.567,46.139,46.418,46.688,45.452,45.808,46.501,47.032,47.874,50.218,51.123,52.13,52.965,54.2,55.281,56.225,57.242,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617,
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.413,57.488,58.494,59.479,60.404,61.273,62.149,62.976,63.788,64.538,65.234,65.896,66.526,67.107,67.633,68.12,68.57,68.992,69.367,69.617,69.903,70.145,70.425,70.705,70.984,71.282,71.665,71.981,72.217,72.457,72.71,73.001,73.303,73.638,73.837,74.022,74.113,73.383,74.357,74.568,74.826,75.083,75.299,75.557,75.951,76.427,76.994,77.691,78.248,78.509,78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.094,72.573,72.993,73.298,73.624,73.856,74.02,74.119,74.22,74.296,74.452,74.615,74.864,75.096,75.34,75.567,75.869,76.154,76.488,76.819,77.137,77.391,77.617,77.787,77.916,78.006,78.107,78.189,78.364,78.557,78.961,79.346,79.794,80.186,80.587,80.804,81.009,81.145,81.28,81.55,81.863,82.162,82.448,82.718,82.815,83.086,83.374,83.632,83.855,84.1,84.197,84.296,84.334,84.406,84.485,84.532,84.489,84.359,84.242,84.098,79.418,82.331,84.016,84.041,
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.79405567,45.54537104,45.99376917,46.97933815,47.57003406,48.11715909,48.62542398,49.0924336,49.65778686,50.14885658,50.69287106,51.31831889,51.89371043,52.30196048,52.92555022,53.42035119,53.85064899,55.08192224,55.75712848,56.47974815,57.00635329,57.56916644,57.87023458,58.63760674,59.32958175,59.98946111,60.91868449,61.62080933,61.67153286,62.29824718,62.75597273,62.82750662,63.57557628,64.60128011,64.85008323,65.2025061,65.5268891,65.85299249,66.19357929,66.54993439,66.89069989,67.24061704,67.58063028,67.65033495,67.7331029,68.04050241,68.49126524,68.87922644,69.25813276,69.70690354,69.8073221,69.36333769,69.8423166,70.19210585,70.53506663,70.65801237,70.89648812,71.11285601,71.43129979,71.83989327,70.72655881,70.40411449,71.8760956,72.44467836,
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.651,51.596,52.546,53.509,54.495,55.512,56.572,57.648,58.727,59.764,60.78,61.753,62.675,63.542,64.351,65.105,65.806,66.471,67.083,67.645,68.157,68.622,69.056,69.448,69.802,70.123,70.41,70.623,70.808,70.96,71.074,71.144,71.166,71.159,71.204,71.392,71.82,72.559,73.66,74.982,76.347,77.621,78.721,79.6,80.272,80.779,81.155,81.438,81.591,81.679,81.886,81.898,81.913,81.95,81.99,82.076,82.195,82.388,82.449,82.596,81.936,79.083,80.487,82.909,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.242,64.631,64.618,64.855,64.816,65.053,65.398,65.467,65.234,65.085,65.647,65.619,65.953,66.186,66.405,66.965,67.03,67.595,67.999,68.434,68.576,68.858,68.973,69.29,69.353,69.879,70.281,70.699,71.097,71.502,71.615,72.02,72.096,72.303,72.732,72.864,73.056,73.407,73.412,73.683,73.91,74.154,74.312,74.307,74.871,75.231,75.279,74.783,75.428,75.577,75.68,76.1,75.802,75.829,76.268,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395,
